name,description,badge_type_id,created_at,updated_at,code,badges_event_id,image,level,target,social_message,sub_module,active
Basic User,"",4,2020-05-16 09:29:34 UTC,2020-07-02 15:54:28 UTC,"",5,,,,,,true
Certified,"",4,2020-05-16 09:29:34 UTC,2020-06-24 15:50:49 UTC,"",1,,,,,,true
First Onebox,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Wiki Editor,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
First Reply By Email,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Licensed,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
New User of the Month,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
First Quote,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Popular Link,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Aficionado,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Trustable,Has filled their profile page,3,2020-05-16 09:21:48 UTC,2020-07-15 13:01:43 UTC,"@participant.add_badge(""Trustable"")",1,,,,,,true
Newtonian,Kudos! You've won a bronze badge in this challenge. Keep up the great work!,3,2020-05-16 09:21:49 UTC,2020-07-21 12:00:14 UTC," challenge_round = ChallengeRound.find_by(id:round_id)
round_name = challenge_round.challenge.challenge + ' ' + challenge_round.challenge_round
if max_rank <= 250
  if participant_ranks>=0.2 && participant_ranks < 0.4
    Participant.find_by(id: participant_id).add_badge('gold-challenge-end', {challenge_round: round_name})
  end
elsif max_rank > 250
  if participant_ranks >=0.05 && participant_ranks < 0.1
    Participant.find_by(id: participant_id).add_badge('gold-challenge-end', {challenge_round: round_name})
  end
end",6,,,,,,true
test_badge,test,1,2020-05-16 09:21:49 UTC,2020-05-16 09:21:49 UTC,"",1,,,,,,true
Rookie,You've made your first successful submission with us. Keep going!,4,2020-05-16 09:21:48 UTC,2020-06-06 14:58:12 UTC,"if Submission.where(participant_id: participant_id, grading_status_cd: 'graded').count == 1
  Participant.find_by(id: participant_id)&.add_badge(""Learner"")
end",1,,,,,,true
Enduring,You've made more than 10 submissions. Here's a bronze badge for you!,3,2020-05-16 09:21:48 UTC,2020-06-06 14:58:04 UTC,"if grading_status_cd == 'graded'
  participant_submission_count = Submission.where(participant_id: participant_id, grading_status_cd: 'graded').count
  if participant_submission_count == 10
    Participant.find_by(id: participant_id).add_badge(""bronze-submitter"")
  end
end",1,,,,,,true
Beginner,You've made your first submission with us. Keep the learning coming in!,4,2020-05-16 09:21:48 UTC,2020-06-06 14:58:18 UTC,"if Submission.where(participant_id: participant_id).count == 1
  Participant.find_by(id: participant_id)&.add_badge(""Beginner"")
end",1,,,,,,true
BeastMode,Wow! You've made over 1000 successful submissions. Here's a gold badge for you. Keep going!,1,2020-05-16 09:21:48 UTC,2020-06-06 14:58:24 UTC,"if grading_status_cd == 'graded'
  participant_submission_count = Submission.where(participant_id: participant_id, grading_status_cd: 'graded').count
  if participant_submission_count == 1000
    Participant.find_by(id: participant_id).add_badge(""gold-submitter"")
  end
end",1,,,,,,true
Persistant,Great work! You've made more than 100 successful submissions. Here's a silver badge for you.,2,2020-05-16 09:21:48 UTC,2020-06-06 14:58:08 UTC,"if grading_status_cd == 'graded'
  participant_submission_count = Submission.where(participant_id: participant_id, grading_status_cd: 'graded').count
  if participant_submission_count == 100
    Participant.find_by(id: participant_id).add_badge(""silver-submitter"")
  end
end",1,,,,,,true
Boltzmann's Favourite,Kudos! You've been awarded a silver badge for this challenge. Keep up the great work!,2,2020-05-16 09:21:49 UTC,2020-06-06 06:01:08 UTC," challenge_round = ChallengeRound.find_by(id:round_id)
round_name = challenge_round.challenge.challenge + ' ' + challenge_round.challenge_round

if max_rank <= 250
  if participant_ranks>=0.1 && participant_ranks < 0.2
    Participant.find_by(id: participant_id).add_badge('silver-challenge-end', {challenge_round: round_name})
  end
elsif max_rank > 250
  if participant_ranks >= 0.01 && participant_ranks < 0.05
    Participant.find_by(id: participant_id).add_badge('silver-challenge-end', {challenge_round: round_name})
  end
end",6,,,,,,true
Anniversary,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Regular,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Member,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Enthusiast,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Reader,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Read Guidelines,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Devotee,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Promoter,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Campaigner,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Leader,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Champion,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Nice Share,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Good Share,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Great Share,,4,2020-05-16 09:29:34 UTC,2020-05-16 09:29:34 UTC,,5,,,,,,true
Autobiographer,,4,2020-05-16 09:29:35 UTC,2020-05-16 09:29:35 UTC,,5,,,,,,true
Nice Post,,4,2020-05-16 09:29:35 UTC,2020-05-16 09:29:35 UTC,,5,,,,,,true
Good Post,,4,2020-05-16 09:29:35 UTC,2020-05-16 09:29:35 UTC,,5,,,,,,true
Great Post,,4,2020-05-16 09:29:35 UTC,2020-05-16 09:29:35 UTC,,5,,,,,,true
Nice Topic,,4,2020-05-16 09:29:35 UTC,2020-05-16 09:29:35 UTC,,5,,,,,,true
Good Topic,,4,2020-05-16 09:29:35 UTC,2020-05-16 09:29:35 UTC,,5,,,,,,true
Great Topic,,4,2020-05-16 09:29:35 UTC,2020-05-16 09:29:35 UTC,,5,,,,,,true
Hot Link,,4,2020-05-16 09:29:35 UTC,2020-05-16 09:29:35 UTC,,5,,,,,,true
Famous Link,,4,2020-05-16 09:29:35 UTC,2020-05-16 09:29:35 UTC,,5,,,,,,true
Appreciated,,4,2020-05-16 09:29:35 UTC,2020-05-16 09:29:35 UTC,,5,,,,,,true
Respected,,4,2020-05-16 09:29:35 UTC,2020-05-16 09:29:35 UTC,,5,,,,,,true
Admired,,4,2020-05-16 09:29:35 UTC,2020-05-16 09:29:35 UTC,,5,,,,,,true
Thank You,,4,2020-05-16 09:29:35 UTC,2020-05-16 09:29:35 UTC,,5,,,,,,true
Gives Back,,4,2020-05-16 09:29:35 UTC,2020-05-16 09:29:35 UTC,,5,,,,,,true
Empathetic,,4,2020-05-16 09:29:35 UTC,2020-05-16 09:29:35 UTC,,5,,,,,,true
Out of Love,,4,2020-05-16 09:29:35 UTC,2020-05-16 09:29:35 UTC,,5,,,,,,true
Higher Love,,4,2020-05-16 09:29:35 UTC,2020-05-16 09:29:35 UTC,,5,,,,,,true
Crazy in Love,,4,2020-05-16 09:29:35 UTC,2020-05-16 09:29:35 UTC,,5,,,,,,true
Welcome,,4,2020-05-16 09:29:35 UTC,2020-05-16 09:29:35 UTC,,5,,,,,,true
First Flag,,4,2020-05-16 09:29:34 UTC,2021-11-22 06:38:08 UTC,,5,/assets/first_badges/badges-93.png,4,1,,induction,true
EulerLearner,Great work! You're one of the top participants in this challenge. Here's a gold badge to celebrate the acheivement.,1,2020-05-16 09:21:49 UTC,2020-07-21 12:00:16 UTC,"challenge_round = ChallengeRound.find_by(id:round_id)
round_name = challenge_round.challenge.challenge + ' ' + challenge_round.challenge_round
if max_rank <= 250
  if participant_ranks < 0.1
    Participant.find_by(id: participant_id).add_badge('bronze-challenge-end', {challenge_round: round_name})
  end
elsif max_rank > 250
  if participant_ranks < 0.01
    Participant.find_by(id: participant_id).add_badge('bronze-challenge-end', {challenge_round: round_name})
  end
end
",6,,,,,,true
Notebook Received Bookmark,You’ve unlocked the bronze badge! The community is noticing you! Keep creating and sharing your resources. ,4,2021-09-10 01:57:14 UTC,2021-09-13 06:20:42 UTC,,5,/assets/notebook_badges/Notebook_bookmark_passive_bronze.png,1,3,n/a,notebook,true
Notebook Received Bookmark,"Woohoo, you receive a silver badge! 15 people have subscribed to your notebook. The community liked your resources, keep up the good work. :)",4,2021-09-10 01:57:14 UTC,2021-09-13 06:20:42 UTC,,5,/assets/notebook_badges/Notebook_bookmark_passive_silver.png,2,15,I received the silver badge for my notebook on @AIcrowdHQ. Check out the notebook that my subscribers are using [link],notebook,true
Participated In Practice Challenge,Big moves! You have participated in 10 practice problem! Here's a bronze medal to celebrate!,4,2021-08-26 10:00:34 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/practice_problem_participate_Active_bronze.png,1,10,I unlocked the bronze badge for participating in 10 @AIcrowdHQ challenges. Check out my profile to know more [link],challenge,true
Participated In Practice Challenge,Keep it up! You've participated in 20 practice problem. Here's a silver medal to celebrate.,4,2021-08-26 10:00:34 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/practice_problem_participate_Active_silver.png,2,20,I unlocked the silver badge for participating in 20 @AIcrowdHQ practise problems. Check out my profile to know more [link],challenge,true
Participated In Practice Challenge,"Congratulations, you've participated in 30 practice problem. Here's a gold medal to celebrate!",4,2021-08-26 10:00:34 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/practice_problem_participate_Active_gold.png,3,30,"Woohoo, I unlocked the gold badge for participating in 30 @AIcrowdHQ practise problems! Check out my profile to know more [link]",challenge,true
Shared Practice Problem,You shared 5 practice problem,4,2021-08-26 10:00:34 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/practice_problem_Share_Active_bronze.png,1,5,N/A,challenge,true
Shared Practice Problem,You shared 15 practice problem,4,2021-08-26 10:00:34 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/practice_problem_Share_Active_silver.png,2,15,N/A,challenge,true
Liked Topic,You liked 40 topics. Here's your gold badge. ,4,2021-09-30 11:47:15 UTC,2021-10-29 12:31:07 UTC,,5,/assets/discussion_badges/post_like_Active_gold.png,3,40,I received a gold medal for interacting with @AIcrowdHQ posts! Check out the challenge forum here [link],community,false
Liked Topic,You liked 20 topics. Here's your silver badge. 20 more left to unlock next level,4,2021-09-30 11:47:15 UTC,2021-10-29 12:30:32 UTC,,5,/assets/discussion_badges/post_like_Active_silver.png,2,20,I received a silver medal for interacting with @AIcrowdHQ posts! Check out the challenge forum here [link],community,true
Commented on a post for first time,,4,2021-10-29 13:12:24 UTC,2021-10-29 13:12:24 UTC,,5,/assets/first_badges/badges-86,4,1,,induction,true
Liked Topic,You liked 10 topics. Here's your bronze badge. 10 more left to unlock next level,4,2021-09-30 11:47:15 UTC,2021-10-29 12:39:43 UTC,,5,/assets/discussion_badges/post_like_passive_bronze.png,1,10,I received a bronze medal for interacting with @AIcrowdHQ posts! Check out the challenge forum here [link],community,true
Topic got likes,Your topic received 20 likes. Here's your silver badge!,4,2021-09-30 11:47:15 UTC,2021-10-29 12:40:19 UTC,,5,/assets/discussion_badges/post_like_passive_silver.png,2,20,My post received 20 likes on @AIcrowdHQ forum! I also unlocked a silver badge! Check out my contribution to AI discussions. :) [link],community,true
Shared a post for the first time,,4,2021-10-29 13:12:24 UTC,2021-10-29 13:12:24 UTC,,5,/assets/first_badges/badges-88,4,1,,induction,true
Top of Leaderboard,"Good job, you are top third participant on the leaderboard. Woohoo, here's your bronze badge!",4,2021-08-26 10:00:34 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/challenges_Win_Active_bronze.png,1,3,I received a bronze badge for being the top third participant on leaderboard. Find my code here [link],challenge,false
Created Notebook,Good job! You’ve unlocked the bronze badge by creating 3 notebooks on AIcrowd. You are 7 notebooks away from unclocking silver badge. Keep up the good work!,4,2021-09-10 01:57:13 UTC,2021-09-13 06:20:42 UTC,,5,/assets/notebook_badges/Notebook_Creation_Active_bronze.png,1,3,I unlocked the bronze badge on @AIcrowdHQ for creating notebooks. Check out all the resources I created [link],notebook,true
Created Notebook,Amazing! You have created 10 notebooks on AIcrowd. We want to appreciate this achievment by giving you the silver badge. Next level - 25 notebooks. Let’s go!,4,2021-09-10 01:57:13 UTC,2021-09-13 06:20:42 UTC,,5,/assets/notebook_badges/Notebook_Creation_Active_silver.png,2,10,I’ve unlocked the silver badge by creating 10 notebooks on @AIcrowdHQ. You can see all my work over here [link],notebook,true
Created Notebook,"Congratualtions, you’ve unlocked the gold badge! This calls for a celebrations. We are so proud to have you as an AIcrowd member. Great job :)",4,2021-09-10 01:57:13 UTC,2021-09-13 06:20:42 UTC,,5,/assets/notebook_badges/Notebook_Creation_Active_gold.png,3,25,"Wow, I unlocked the prestigious gold badge by creating 25 notebooks @AIcrowdHQ. What do you think about all my notebooks? [link]",notebook,true
Liked Replies,We love an active community member. Here's a bronze badge for liking 10 replies.,4,2021-09-30 11:47:15 UTC,2021-09-30 11:47:15 UTC,,5,/assets/discussion_badges/post_comment_Active_bronze.png,1,10,I received a bronze badge for active participation on @AIcrowdHQ forum. Join the latest discussions on AI and Machine Learning over here [link],community,true
Reply Received Likes,The community enjoys interacting with you. Here's a bronze badge for 5 likes on replies.,4,2021-09-30 11:47:15 UTC,2021-09-30 11:47:15 UTC,,5,/assets/discussion_badges/post_comment_passive_bronze.png,1,5,I received a bronze badge as @AIcrowdHQ community members are enjoying my posts on their forum! Check them out [link],community,true
Commented On Post,You've unlocked bronze badge by commenting on 10 posts. You are 15 more comments away from the next level. ,4,2021-09-30 11:47:15 UTC,2021-09-30 11:47:15 UTC,,5,/assets/discussion_badges/post_comment_Active_bronze.png,1,10,N/A,community,true
Received Comment On Post,"Your posts has received 25 comments, here's your gold badge.",4,2021-09-30 11:47:15 UTC,2021-10-29 12:35:46 UTC,,5,/assets/discussion_badges/post_comment_passive_gold.png,3,25,My post on @AIcrowdHQ forum is garnering a lot of attention!  I even unlocked a gold badge.Check out the post here [link] ,community,true
Reply Received Likes,The community enjoys interacting with you. Here's a gold badge for 35 likes on replies.,4,2021-09-30 11:47:15 UTC,2021-10-29 12:36:08 UTC,,5,/assets/discussion_badges/post_comment_passive_gold.png,3,35,I received a gold badge as @AIcrowdHQ community members are enjoying my posts on their forum! Check them out [link],community,true
Received Comment On Post,"Your posts has received 5 comments, here's your bronze badge.",4,2021-09-30 11:47:15 UTC,2021-10-29 12:37:29 UTC,,5,/assets/discussion_badges/post_comment_passive_bronze.png,1,5,My post on @AIcrowdHQ forum is garnering a lot of attention!  I even unlocked a bronze badge.Check out the post here [link] ,community,true
Made Successful Submission,"Good job, you've made 80 submissions. Here's your gold badge. ",4,2021-08-26 10:00:34 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/challenges_successful_submission_Active_gold.png,3,80,I unlocked gold badge for making 80 successful submissions. Know more about my journey here [link],challenge,false
Created Blitz Notebook,Good job! You’ve unlocked the bronze badge by creating 5 blitz notebooks on AIcrowd. You are 10 notebooks away from unclocking the silver badge. Keep up the good work!,4,2021-09-10 01:57:14 UTC,2021-11-12 06:44:39 UTC,,5,/assets/notebook_badges/Blitz_Creation_Active_bronze.png,1,5,,notebook,true
Topic got likes,Your topic received 35 likes. Here's your gold badge!,4,2021-09-30 11:47:15 UTC,2021-10-29 12:29:19 UTC,,5,/assets/discussion_badges/post_like_passive_gold.png,3,35,My post received 35 likes on @AIcrowdHQ forum! I also unlocked a gold badge! Check out my contribution to AI discussions. :) [link],community,true
Liked Replies,We love an active community member. Here's a silver badge for liking 20 replies.,4,2021-09-30 11:47:15 UTC,2021-10-29 12:32:55 UTC,,5,/assets/discussion_badges/post_comment_Active_silver.png,2,20,I received a silver badge for active participation on @AIcrowdHQ forum. Join the latest discussions on AI and Machine Learning over here [link],community,true
Reply Received Likes,The community enjoys interacting with you. Here's a silver badge for 20 likes on replies.,4,2021-09-30 11:47:15 UTC,2021-10-29 12:33:28 UTC,,5,/assets/discussion_badges/post_comment_passive_silver.png,2,20,I received a silver badge as @AIcrowdHQ community members are enjoying my posts on their forum! Check them out [link],community,true
Commented On Post,You've unlocked silver badge by commenting on 25 posts. You are 15 more comments away from the next level. ,4,2021-09-30 11:47:15 UTC,2021-10-29 12:33:52 UTC,,5,/assets/discussion_badges/post_comment_Active_silver.png,2,25,N/A,community,true
Received Comment On Post,"Your posts has received 15 comments, here's your silver badge.",4,2021-09-30 11:47:15 UTC,2021-10-29 12:38:39 UTC,,5,/assets/discussion_badges/post_comment_passive_silver.png,2,15,My post on @AIcrowdHQ forum is garnering a lot of attention!  I even unlocked a silver badge.Check out the post here [link] ,community,true
Liked Replies,We love an active community member. Here's a gold badge for liking 40 replies.,4,2021-09-30 11:47:15 UTC,2021-10-29 12:40:52 UTC,,5,/assets/discussion_badges/post_comment_Active_gold.png,3,40,I received a gold badge for active participation on @AIcrowdHQ forum. Join the latest discussions on AI and Machine Learning over here [link],community,false
Commented On Post,You've unlocked gold badge for commenting on 40 posts!,4,2021-09-30 11:47:15 UTC,2021-10-29 12:41:28 UTC,,5,/assets/discussion_badges/post_comment_Active_gold.png,3,40,N/A,community,false
Liked a post for first time,,4,2021-10-29 13:12:24 UTC,2021-10-29 13:12:24 UTC,,5,/assets/first_badges/badges-84,4,1,,induction,true
Participated Challenge,Big moves! You have participated in 5 challenges! Here's a bronze medal to celebrate!,4,2021-08-26 10:00:34 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/challenges_participate_Active_bronze.png,1,5,I unlocked the bronze badge for participating in 5 @AIcrowdHQ challenges. Check out my profile to know more [link],challenge,true
Made Successful Submission,Baby steps! You've made 20 submission unlocking bronze badge. Keep them coming!,4,2021-08-26 10:00:34 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/challenges_successful_submission_Active_bronze.png,1,20,I unlocked bronze badge for making 20 successful submissions and I am just getting started! See my submissions here [link],challenge,false
Liked Practice Problem,You liked 30 practice problem,4,2021-08-26 10:00:34 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/practice_problem_like_Active_gold.png,3,30,@AIcrowdHQ has a great collection of practise problems. Check out some of my liked challenges over here [link],challenge,false
Participated Challenge,Keep it up! You've participated in 10 challenges. Here's a silver medal to celebrate.,4,2021-08-26 10:00:34 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/challenges_participate_Active_silver.png,2,10,I unlocked the silver badge for participating in 10 @AIcrowdHQ challenges. Check out my profile to know more [link],challenge,true
Participated Challenge,"Congratulations, you've participated in 40 challenges. Here's a gold medal to celebrate!",4,2021-08-26 10:00:34 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/challenges_participate_Active_gold.png,3,40,"Woohoo, I unlocked the gold badge for participating in 40 @AIcrowdHQ challenges! Check out my profile to know more [link]",challenge,true
Made Submission,"Good job, you've made 40 submission unlocking bronze badge.",4,2021-08-26 10:00:34 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/challenges_submit_Active_bronze.png,1,40,I have made 40 submissions on @AIcrowdHQ and unlocked the bronze badge! ,challenge,true
Made Submission,"Good job, you've made 80 submission unlocking silver badge.",4,2021-08-26 10:00:34 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/challenges_submit_Active_silver.png,2,80,I have made 80 submissions on @AIcrowdHQ and unlocked the silver badge! ,challenge,true
Made Submission,"Woohoo, you've made 120 submission unlocking bronze badge.",4,2021-08-26 10:00:34 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/challenges_submit_Active_gold.png,3,120,"Woohoo, I have made 120 submissions on @AIcrowdHQ and unlocked the gold badge! ",challenge,true
Community Contribution Winner,"Congratulations, a double-win! You unlocked a gold badge for winning the Community Explainer. We are delighted to have you as a part of AIcrowd. Continue to create resources, our community loves them!",4,2021-09-10 01:57:14 UTC,2021-11-12 10:48:53 UTC,,5,/assets/notebook_badges/badges-100.png,3,1,I unlocked the prestigious gold badge on @AIcrowdHQ by winning the Community Explainer prize. Check out my winning notebook over here [link] ,notebook,true
Notebook Received Bookmark,"Woohoo, you got your first bookmark! Continue to create more resources to engage with the community. :)",4,2021-09-14 09:00:14 UTC,2021-11-12 07:04:32 UTC,,5,/assets/notebook_badges/Notebook_bookmark_passive_first,4,1,,induction,true
Top of Leaderboard,"Good job, you are number one participant on the leaderboard. Woohoo, here's your gold badge!",4,2021-08-26 10:00:34 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/challenges_Win_Active_gold.png,3,1,I received a gold badge for being the number one participant on leaderboard. Find my winning code here [link],challenge,false
Shared Practice Problem,You shared 35 practice problem,4,2021-08-26 10:00:34 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/practice_problem_Share_Active_gold.png,3,35,I unlocked the gold badge for sharing cool practise problems on @AIcrowdHQ. Here are some of my favourites [link],challenge,true
Made Successful Submission,"Keep it up, you've made 50 submissions. You've unlocked the silver badge. ",4,2021-08-26 10:00:34 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/challenges_successful_submission_Active_silver.png,2,50,I unlocked silver badge for making 50 successful submissions and I am just getting started! See my submissions here [link],challenge,false
"Participated in one challenge, made 2 submissions and liked 2 challenges. ","Congratulations, you are AIcrowd New User of the Month! We love your active participation and enthusiasm. Keep it up :D",4,2021-08-26 10:00:35 UTC,2021-08-26 10:00:35 UTC,,5,,2,1,"I am the @AIcrowdHQ New User of the Month and received a silver badge! Curious about my journey, check out my profile [link]",challenge,false
Notebook Received Download,"Woohoo, your notebook was downloaded for the first time. Continue to create more resources that helps the community, they love it! :)",4,2021-09-14 09:00:14 UTC,2021-11-12 07:07:10 UTC,,5,/assets/notebook_badges/Notebook_download_passive_first,4,1,,induction,true
Successful Practice Practise Submission,"Good job, you've made 50 successful submission unlocking silver badge.",4,2021-08-26 10:00:34 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/practice_problem_successful_submission_Active_silver.png,2,50,I unlocked silver badge for making 50 successful submissions and I am just getting started! See my submissions here [link],challenge,false
Participated In First Challenge,You participated in your first challenge!,4,2021-09-14 09:00:14 UTC,2021-11-12 07:23:08 UTC,,5,/assets/challenge_badges/challenges_participate_Active_first,4,1,I just participated in my first @AIcrowdHQ challenge. Check it out,induction,true
Top of Leaderboard,"Good job, you are second on the leaderboard. Woohoo, here's your silver badge!",4,2021-08-26 10:00:34 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/challenges_Win_Active_silver.png,2,2,I received a silver badge for being the second participant on leaderboard. Find my code here [link],challenge,false
Participated In First Practice Problem,You participated in your first practise problem.,4,2021-09-14 09:00:14 UTC,2021-11-12 07:25:26 UTC,,5,/assets/challenge_badges/practice_problem_participate_Active_first,4,1,I just participated in my first @AIcrowdHQ practise. Check it out.,induction,true
Shared First Notebook,Look at you interacting with the community! You are 9 more shares away from winning your bronze badge. Keep at it. :),4,2021-09-14 09:00:14 UTC,2021-11-12 07:28:15 UTC,,5,/assets/notebook_badges/Notebook_Share_Active_first,4,1,"I find this notebook on @AIcrowdHQ very interesting, check it out.",induction,true
Notebook Received Bookmark,"Wow, you receive a gold badge as your notebooks have 30 subscribers! Your work is quite popular! Keep creating and sharing more notebooks.:) ",4,2021-09-10 01:57:14 UTC,2021-09-13 06:20:42 UTC,,5,/assets/notebook_badges/Notebook_bookmark_passive_gold.png,3,30,"Yay, I received the prestigious gold badge for my notebook on @AIcrowdHQ. Check out my notebook that is popular among AIcrowd community members [link]",notebook,true
Liked Challenge,You liked 5 challenges.,4,2021-08-26 10:00:33 UTC,2021-09-10 11:23:33 UTC,,5,/assets/challenge_badges/challenges_like_Active_bronze.png,1,5,N/A,challenge,false
Liked Challenge,You liked 10 challenges.,4,2021-08-26 10:00:33 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/challenges_like_Active_silver.png,2,10,N/A,challenge,false
Liked Challenge,You liked 20 challenges,4,2021-08-26 10:00:33 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/challenges_like_Active_gold.png,3,20,@AIcrowdHQ has a great collection of challenges. Check out some of my liked challenges over here [link],challenge,false
Followed Challenge,You followed 5 challenges,4,2021-08-26 10:00:33 UTC,2021-09-10 11:23:34 UTC,,5,/assets/challenge_badges/challenges_follow_Active_bronze.png,1,5,N/A,challenge,false
Liked Notebook,"Wow, you’re a busy bee. Here’s your gold badge for interacting with 40 notebooks. You’re awesome. :)",4,2021-09-10 01:57:14 UTC,2021-09-13 06:20:42 UTC,,5,/assets/notebook_badges/Notebook_like_Active_gold.png,3,40,I unlocked the prestigious gold badge on @AIcrowdHQ for interacting with resources on the platform. Check out some of my favourite notebooks here [link],notebook,false
Created First Team,"Woohoo, you're a team players! Congratulation on your first team. All the best to you and your teammates [emoji]",4,2021-09-14 09:00:13 UTC,2021-10-26 11:22:06 UTC,,5,/assets/first_badges/made_team_first,4,1,I teamed up with a fellow AIcrew member for my newest challenges. Solving AI puzzles on @AIcrowdHQ is better together. Here’s what I am talking about [link to the puzzle],induction,true
