name,description,badge_type_id,code,badges_event_id,image,level,target,social_message,sub_module,active,Points Flow Checked/Fixed,Target Checked/Fixed,Description Checked,Badge Flow Checked
Participated In Practice Challenge,Big moves! You have participated in 10 practice problem! Here's a bronze medal to celebrate!,4,,5,/assets/challenge_badges/practice_problem_participate_Active_bronze.png,1,10,I unlocked the bronze badge for participating in 10 @AIcrowdHQ challenges. Check out my profile to know more [link],challenge,TRUE,,YES,YES,
Participated In Practice Challenge,Keep it up! You've participated in 20 practice problem. Here's a silver medal to celebrate.,4,,5,/assets/challenge_badges/practice_problem_participate_Active_silver.png,2,20,I unlocked the silver badge for participating in 20 @AIcrowdHQ practise problems. Check out my profile to know more [link],challenge,TRUE,,YES,YES,
Participated In Practice Challenge,"Congratulations, you've participated in 30 practice problem. Here's a gold medal to celebrate!",4,,5,/assets/challenge_badges/practice_problem_participate_Active_gold.png,3,30,"Woohoo, I unlocked the gold badge for participating in 30 @AIcrowdHQ practise problems! Check out my profile to know more [link]",challenge,TRUE,,YES,YES,
Shared Practice Problem,You shared 5 practice problem,4,,5,/assets/challenge_badges/practice_problem_Share_Active_bronze.png,1,15,N/A,challenge,TRUE,,YES,YES,
Shared Practice Problem,You shared 15 practice problem,4,,5,/assets/challenge_badges/practice_problem_Share_Active_silver.png,2,35,N/A,challenge,TRUE,,YES,YES,
Top of Leaderboard,"Good job, you are top third participant on the leaderboard. Woohoo, here's your bronze badge!",4,,5,/assets/challenge_badges/challenges_Win_Active_bronze.png,1,3,I received a bronze badge for being the top third participant on leaderboard. Find my code here [link],challenge,FALSE,,,,
Made Successful Submission,"Good job, you've made 80 submissions. Here's your gold badge. ",4,,5,/assets/challenge_badges/challenges_successful_submission_Active_gold.png,3,80,I unlocked gold badge for making 80 successful submissions. Know more about my journey here [link],challenge,FALSE,,,,
Participated Challenge,Big moves! You have participated in 3 challenges! Here's a bronze medal to celebrate!,4,,5,/assets/challenge_badges/challenges_participate_Active_bronze.png,1,3,I unlocked the bronze badge for participating in 5 @AIcrowdHQ challenges. Check out my profile to know more [link],challenge,TRUE,,YES,YES,
Made Successful Submission,Baby steps! You've made 20 submission unlocking bronze badge. Keep them coming!,4,,5,/assets/challenge_badges/challenges_successful_submission_Active_bronze.png,1,20,I unlocked bronze badge for making 20 successful submissions and I am just getting started! See my submissions here [link],challenge,FALSE,,,,
Liked Practice Problem,You liked 30 practice problem,4,,5,/assets/challenge_badges/practice_problem_like_Active_gold.png,3,20,@AIcrowdHQ has a great collection of practise problems. Check out some of my liked challenges over here [link],challenge,FALSE,,,,
Participated Challenge,Keep it up! You've participated in 9 challenges. Here's a silver medal to celebrate.,4,,5,/assets/challenge_badges/challenges_participate_Active_silver.png,2,9,I unlocked the silver badge for participating in 10 @AIcrowdHQ challenges. Check out my profile to know more [link],challenge,TRUE,,YES,YES,
Participated Challenge,"Congratulations, you've participated in 21 challenges. Here's a gold medal to celebrate!",4,,5,/assets/challenge_badges/challenges_participate_Active_gold.png,3,21,"Woohoo, I unlocked the gold badge for participating in 40 @AIcrowdHQ challenges! Check out my profile to know more [link]",challenge,TRUE,,YES,YES,
Made Submission,"Good job, you've made 10 submission unlocking bronze badge.",4,,5,/assets/challenge_badges/challenges_submit_Active_bronze.png,1,10,I have made 10 submissions on @AIcrowdHQ and unlocked the bronze badge!,challenge,TRUE,,YES,YES,
Made Submission,"Good job, you've made 100 submission unlocking silver badge.",4,,5,/assets/challenge_badges/challenges_submit_Active_silver.png,2,100,I have made 100 submissions on @AIcrowdHQ and unlocked the silver badge!,challenge,TRUE,,YES,YES,
Made Submission,"Woohoo, you've made 300 submission unlocking bronze badge.",4,,5,/assets/challenge_badges/challenges_submit_Active_gold.png,3,300,"Woohoo, I have made 300 submissions on @AIcrowdHQ and unlocked the gold badge! ",challenge,TRUE,,YES,YES,
Top of Leaderboard,"Good job, you are number one participant on the leaderboard. Woohoo, here's your gold badge!",4,,5,/assets/challenge_badges/challenges_Win_Active_gold.png,3,1,I received a gold badge for being the number one participant on leaderboard. Find my winning code here [link],challenge,FALSE,,,,
Shared Practice Problem,You shared 35 practice problem,4,,5,/assets/challenge_badges/practice_problem_Share_Active_gold.png,3,35,I unlocked the gold badge for sharing cool practise problems on @AIcrowdHQ. Here are some of my favourites [link],challenge,TRUE,,YES,YES,
Made Successful Submission,"Keep it up, you've made 50 submissions. You've unlocked the silver badge. ",4,,5,/assets/challenge_badges/challenges_successful_submission_Active_silver.png,2,50,I unlocked silver badge for making 50 successful submissions and I am just getting started! See my submissions here [link],challenge,FALSE,,,,
"Participated in one challenge, made 2 submissions and liked 2 challenges. ","Congratulations, you are AIcrowd New User of the Month! We love your active participation and enthusiasm. Keep it up :D",4,,5,,2,1,"I am the @AIcrowdHQ New User of the Month and received a silver badge! Curious about my journey, check out my profile [link]",challenge,FALSE,,,,
Successful Practice Practise Submission,"Good job, you've made 50 successful submission unlocking silver badge.",4,,5,/assets/challenge_badges/practice_problem_successful_submission_Active_silver.png,2,50,I unlocked silver badge for making 50 successful submissions and I am just getting started! See my submissions here [link],challenge,FALSE,,,,
Top of Leaderboard,"Good job, you are second on the leaderboard. Woohoo, here's your silver badge!",4,,5,/assets/challenge_badges/challenges_Win_Active_silver.png,2,2,I received a silver badge for being the second participant on leaderboard. Find my code here [link],challenge,FALSE,,,,
Liked Challenge,You liked 5 challenges.,4,,5,/assets/challenge_badges/challenges_like_Active_bronze.png,1,5,N/A,challenge,FALSE,,,,
Liked Challenge,You liked 10 challenges.,4,,5,/assets/challenge_badges/challenges_like_Active_silver.png,2,10,N/A,challenge,FALSE,,,,
Liked Challenge,You liked 20 challenges,4,,5,/assets/challenge_badges/challenges_like_Active_gold.png,3,20,@AIcrowdHQ has a great collection of challenges. Check out some of my liked challenges over here [link],challenge,FALSE,,,,
Followed Challenge,You followed 5 challenges,4,,5,/assets/challenge_badges/challenges_follow_Active_bronze.png,1,5,N/A,challenge,FALSE,,,,
Shared Challenge,You shared 5 challenges.,4,,5,/assets/challenge_badges/challenges_Share_Active_bronze.png,1,5,N/A,challenge,TRUE,,YES,YES,
Shared Challenge,You shared 15 challenges.,4,,5,/assets/challenge_badges/challenges_Share_Active_silver.png,2,15,N/A,challenge,TRUE,,YES,YES,
Liked Practice Problem,You liked 10 practice problem,4,,5,/assets/challenge_badges/practice_problem_like_Active_bronze.png,1,10,N/A,challenge,FALSE,,,,
Liked Practice Problem,You liked 20 practice problem,4,,5,/assets/challenge_badges/practice_problem_like_Active_silver.png,2,20,N/A,challenge,FALSE,,,,
Followed Challenge,You followed 10 challenges,4,,5,/assets/challenge_badges/challenges_follow_Active_silver.png,2,10,N/A,challenge,FALSE,,,,
Followed Challenge,You followed 20 challenges,4,,5,/assets/challenge_badges/challenges_follow_Active_gold.png,3,20,I unlocked the gold badge for following interesting AI challenges on @AIcrowdHQ. Here are some of my favourites [link],challenge,FALSE,,,,
Shared Challenge,You shared 35 challenges.,4,,5,/assets/challenge_badges/challenges_Share_Active_gold.png,3,35,I unlocked the gold badge for sharing cool challenges on @AIcrowdHQ. Here are some of my favourites [link],challenge,TRUE,,YES,YES,
Invited User,Challenges are more fun with friends. Here's your bronze badge for inviting a user to this challenge.,4,,5,/assets/challenge_badges/campaign_invite_Active_bronze.png,1,1,I unlocked a bronze badge for inviting a new user to a challenge. Want to join my team? Click here [link],challenge,TRUE,,YES,YES,
Invited User,Challenges are more fun with friends. Here's your silver badge for inviting 5 users to this challenge.,4,,5,/assets/challenge_badges/campaign_invite_Active_silver.png,2,5,I unlocked a silver badge for inviting 5 new users to a challenge. Want to join my team? Click here [link],challenge,TRUE,,YES,YES,
Invited User,Challenges are more fun with friends. Here's your gold badge for inviting 15 users to this challenge.,4,,5,/assets/challenge_badges/campaign_invite_Active_gold.png,3,15,I unlocked a gold badge for inviting 15 new users to a challenge. Want to join my team? Click here [link],challenge,TRUE,,YES,YES,
Improved Score,Keep up that never give up attitude! You've improved your score thrice in this challenge. Here's a silver badge to celebrate!,4,,5,/assets/challenge_badges/leaderboard_improve_score_Active_silver.png,2,3,I improved my score thrice in this challenge and won the bronze badge! Never give up. Here's my code [link]`,challenge,TRUE,,,,
Improved Score,Keep up that never give up attitude! You've improved your score five times in this challenge. Here's a gold badge to celebrate!,4,,5,/assets/challenge_badges/leaderboard_improve_score_Active_gold.png,3,5,I improved my score five times in this challenge and won the silver badge! Never give up. Here's my code [link],challenge,TRUE,,,,
Followed Practice Problem,You followed 10 practice problem,4,,5,/assets/challenge_badges/practice_problem_follow_Active_bronze.png,1,10,N/A,challenge,FALSE,,,,
Followed Practice Problem,You followed 20 practice problem,4,,5,/assets/challenge_badges/practice_problem_follow_Active_silver.png,2,20,N/A,challenge,FALSE,,,,
Successful Practice Practise Submission,"Good job, you've made 20 successful submission unlocking bronze badge.",4,,5,/assets/challenge_badges/practice_problem_successful_submission_Active_bronze.png,1,20,I unlocked bronze badge for making 20 successful submissions and I am just getting started! See my submissions here [link],challenge,FALSE,,,,
Successful Practice Practise Submission,"Woohoo, you've made 80 successful submission unlocking bronze badge.",4,,5,/assets/challenge_badges/practice_problem_successful_submission_Active_gold.png,3,80,I unlocked gold badge for making 80 successful submissions! Know more about my journey here [link],challenge,FALSE,,,,
Submission Streak,Good going! You've made submission for 3 straight days!  Here's a gold badge to celebrate!,4,,5,/assets/challenge_badges/activity_time_frequency_Active_bronze.png,1,3,I unlocked the bronze badge by making consecutive submissions for 3 straight days! Check out the interesting challenge for yourself [link],challenge,TRUE,,YES,YES,
Submission Streak,"Keep it up, you've made submissions for 7 consecutive days! Here's a gold badge to celebrate!",4,,5,/assets/challenge_badges/activity_time_frequency_Active_silver.png,2,7,I unlocked the silver badge by making consecutive submissions for 7 straight days! Check out the interesting challenge for yourself [link],challenge,TRUE,,YES,YES,
Submission Streak,"Bravo, this is amazing. You've made submission for 30 consecutive day. Here's a gold badge to celebrate!",4,,5,/assets/challenge_badges/activity_time_frequency_Active_gold.png,3,30,"Wow, I unlocked the gold badge by making consecutive submissions for 30 straight days! Check out the interesting challenge for yourself [link]",challenge,TRUE,,YES,YES,
Leaderboard Ninja,Movers and shakers! You've jumped 5 ranks on the leaderboard. Here's a bronze badge to celebrate that!,4,,5,/assets/challenge_badges/leaderboard_improve_rank_Active_bronze.png,1,5,I moved up 5 positions in the leaderboard one week before the deadline! Hard work pays off - here's my bronze badge!,challenge,TRUE,,,,
Leaderboard Ninja,Movers and shakers! You've jumped 15 ranks on the leaderboard. Here's a silver badge to celebrate that!,4,,5,/assets/challenge_badges/leaderboard_improve_rank_Active_silver.png,2,15,I moved up 15 positions in the leaderboard one week before the deadline! Hard work pays off - here's my silver badge!,challenge,TRUE,,,,
Leaderboard Ninja,Movers and shakers! You've jumped 35 ranks on the leaderboard. Here's a gold badge to celebrate that!,4,,5,/assets/challenge_badges/leaderboard_improve_rank_Active_gold.png,3,35,I moved up 35 positions in the leaderboard one week before the deadline! Hard work pays off - here's my gold badge!,challenge,TRUE,,,,
Followed Practice Problem,You followed 40 practice problem,4,,5,/assets/challenge_badges/practice_problem_follow_Active_gold.png,3,40,I unlocked the gold badge for following interesting AI practise problems on @AIcrowdHQ. Here are some of my favourites [link],challenge,FALSE,,,,
Liked Topic,You liked 40 topics. Here's your gold badge.,4,,5,/assets/discussion_badges/post_like_Active_gold.png,3,40,I received a gold medal for interacting with @AIcrowdHQ posts! Check out the challenge forum here [link],community,FALSE,,,,
Liked Topic,You liked 20 topics. Here's your silver badge. 20 more left to unlock next level,4,,5,/assets/discussion_badges/post_like_Active_silver.png,2,20,I received a silver medal for interacting with @AIcrowdHQ posts! Check out the challenge forum here [link],community,TRUE,,,,
Liked Topic,You liked 10 topics. Here's your bronze badge. 10 more left to unlock next level,4,,5,/assets/discussion_badges/post_like_passive_bronze.png,1,10,I received a bronze medal for interacting with @AIcrowdHQ posts! Check out the challenge forum here [link],community,TRUE,,,,
Topic got likes,Your topic received 20 likes. Here's your silver badge!,4,,5,/assets/discussion_badges/post_like_passive_silver.png,2,20,My post received 20 likes on @AIcrowdHQ forum! I also unlocked a silver badge! Check out my contribution to AI discussions. :) [link],community,TRUE,,,,
Liked Replies,We love an active community member. Here's a bronze badge for liking 10 replies.,4,,5,/assets/discussion_badges/post_comment_Active_bronze.png,1,10,I received a bronze badge for active participation on @AIcrowdHQ forum. Join the latest discussions on AI and Machine Learning over here [link],community,TRUE,,,,
Reply Received Likes,The community enjoys interacting with you. Here's a bronze badge for 5 likes on replies.,4,,5,/assets/discussion_badges/post_comment_passive_bronze.png,1,5,I received a bronze badge as @AIcrowdHQ community members are enjoying my posts on their forum! Check them out [link],community,TRUE,,,,
Commented On Post,You've unlocked bronze badge by commenting on 10 posts. You are 15 more comments away from the next level.,4,,5,/assets/discussion_badges/post_comment_Active_bronze.png,1,10,N/A,community,TRUE,,,,
Received Comment On Post,"Your posts has received 25 comments, here's your gold badge.",4,,5,/assets/discussion_badges/post_comment_passive_gold.png,3,25,My post on @AIcrowdHQ forum is garnering a lot of attention!  I even unlocked a gold badge.Check out the post here [link],community,TRUE,,,,
Reply Received Likes,The community enjoys interacting with you. Here's a gold badge for 35 likes on replies.,4,,5,/assets/discussion_badges/post_comment_passive_gold.png,3,35,I received a gold badge as @AIcrowdHQ community members are enjoying my posts on their forum! Check them out [link],community,TRUE,,,,
Received Comment On Post,"Your posts has received 5 comments, here's your bronze badge.",4,,5,/assets/discussion_badges/post_comment_passive_bronze.png,1,5,My post on @AIcrowdHQ forum is garnering a lot of attention!  I even unlocked a bronze badge.Check out the post here [link],community,TRUE,,,,
Topic got likes,Your topic received 35 likes. Here's your gold badge!,4,,5,/assets/discussion_badges/post_like_passive_gold.png,3,35,My post received 35 likes on @AIcrowdHQ forum! I also unlocked a gold badge! Check out my contribution to AI discussions. :) [link],community,TRUE,,,,
Liked Replies,We love an active community member. Here's a silver badge for liking 20 replies.,4,,5,/assets/discussion_badges/post_comment_Active_silver.png,2,20,I received a silver badge for active participation on @AIcrowdHQ forum. Join the latest discussions on AI and Machine Learning over here [link],community,TRUE,,,,
Reply Received Likes,The community enjoys interacting with you. Here's a silver badge for 20 likes on replies.,4,,5,/assets/discussion_badges/post_comment_passive_silver.png,2,20,I received a silver badge as @AIcrowdHQ community members are enjoying my posts on their forum! Check them out [link],community,TRUE,,,,
Commented On Post,You've unlocked silver badge by commenting on 25 posts. You are 15 more comments away from the next level.,4,,5,/assets/discussion_badges/post_comment_Active_silver.png,2,25,N/A,community,TRUE,,,,
Received Comment On Post,"Your posts has received 15 comments, here's your silver badge.",4,,5,/assets/discussion_badges/post_comment_passive_silver.png,2,15,My post on @AIcrowdHQ forum is garnering a lot of attention!  I even unlocked a silver badge.Check out the post here [link],community,TRUE,,,,
Liked Replies,We love an active community member. Here's a gold badge for liking 40 replies.,4,,5,/assets/discussion_badges/post_comment_Active_gold.png,3,40,I received a gold badge for active participation on @AIcrowdHQ forum. Join the latest discussions on AI and Machine Learning over here [link],community,FALSE,,,,
Commented On Post,You've unlocked gold badge for commenting on 40 posts!,4,,5,/assets/discussion_badges/post_comment_Active_gold.png,3,40,N/A,community,FALSE,,,,
First Flag,,4,,5,/assets/first_badges/badges-93.png,4,1,,induction,TRUE,,,,
Commented on a post for first time,,4,,5,/assets/first_badges/badges-86,4,1,,induction,TRUE,,,,
Shared a post for the first time,,4,,5,/assets/first_badges/badges-88,4,1,,induction,TRUE,,,,
Liked a post for first time,,4,,5,/assets/first_badges/badges-84,4,1,,induction,TRUE,,,,
Notebook Received Bookmark,"Woohoo, you got your first bookmark! Continue to create more resources to engage with the community. :)",4,,5,/assets/notebook_badges/Notebook_bookmark_passive_first,4,1,,induction,TRUE,,,,
Notebook Received Download,"Woohoo, your notebook was downloaded for the first time. Continue to create more resources that helps the community, they love it! :)",4,,5,/assets/notebook_badges/Notebook_download_passive_first,4,1,,induction,TRUE,,,,
Participated In First Challenge,You participated in your first challenge!,4,,5,/assets/challenge_badges/challenges_participate_Active_first,4,1,I just participated in my first @AIcrowdHQ challenge. Check it out,induction,TRUE,,,,
Participated In First Practice Problem,You participated in your first practise problem.,4,,5,/assets/challenge_badges/practice_problem_participate_Active_first,4,1,I just participated in my first @AIcrowdHQ practise. Check it out.,induction,TRUE,,,,
Shared First Notebook,Look at you interacting with the community! You are 9 more shares away from winning your bronze badge. Keep at it. :),4,,5,/assets/notebook_badges/Notebook_Share_Active_first,4,1,"I find this notebook on @AIcrowdHQ very interesting, check it out.",induction,TRUE,,,,
Created First Team,"Woohoo, you're a team players! Congratulation on your first team. All the best to you and your teammates [emoji]",4,,5,/assets/first_badges/made_team_first,4,1,I teamed up with a fellow AIcrew member for my newest challenges. Solving AI puzzles on @AIcrowdHQ is better together. Here’s what I am talking about [link to the puzzle],induction,TRUE,,,,
Clicked a link for the first time,,4,,5,/assets/first_badges/badges-90,4,1,,induction,TRUE,,,,
Bookmarked a post for the first time,,4,,5,/assets/first_badges/badges-92,4,1,,induction,TRUE,,,,
Mentioned someone for the first time,,4,,5,/assets/first_badges/badges-85,4,1,,induction,TRUE,,,,
Filled your discourse bio,,4,,5,/assets/first_badges/badges-87,4,1,,induction,TRUE,,,,
Edited post for the first time,,4,,5,/assets/first_badges/badges-89,4,1,,induction,TRUE,,,,
Liked First Notebook,We grow by appreciating work of others. Good to see you interact with resources created by community members. You are 9 more likes away from unlocking bronze badge. Keep up the good work!,4,,5,/assets/notebook_badges/Notebook_like_Active_first,4,1,I liked this notebook on @AIcrowdHQ [link],induction,TRUE,,,,
Bookmarked First Notebook,You followed your first notebook. You are 4 subscriptions away from unlocking bronze badge. Keep it up!,4,,5,/assets/notebook_badges/Notebook_bookmark_Active_first,4,1,I just subscribed to this notebook on @AIcrowdHQ. Check it out [link],induction,TRUE,,,,
Followed First Practice Problem,,4,,5,/assets/challenge_badges/practice_problem_follow_Active_first,4,1,,induction,FALSE,,,,
Created First Notebook,"Yay, you’ve created your first notebook! You’re only two more notebooks away from winning your bronze badge. Keep up the good work",4,,5,/assets/notebook_badges/Notebook_Creation_Active_first,4,1,I created my first notebook on @AIcrowdHQ. Check it out [link],induction,TRUE,,,,
Accepted Rules,,4,,5,/assets/challenge_badges/challenges_rules_Active_first,4,1,,induction,FALSE,,,,
Used emoji for the first time,,4,,5,/assets/first_badges/badges-91,4,1,,induction,TRUE,,,,
Used flag for the first time,,4,,5,/assets/first_badges/badges-93,4,1,,induction,TRUE,,,,
Notebook Received Like,"Yay, your notebook received a like! The community appreciates your contributions. Keep creating and sharing your resources with us. :)",4,,5,/assets/notebook_badges/Notebook_like_passive_first,4,1,"My notebook was liked by @AIcrowdHQ community member, check it out [link]",induction,TRUE,,,,
Commented on Notebook,Nice to see you interact with other members! You are four comments away from unlocking the bronze badge. Keep up the good work.,4,,5,/assets/notebook_badges/Notebook_comment_Active_first,4,1,,induction,TRUE,,,,
