Category,id,Name,sub_module,Module,Submodule,Action,How easy is it to do?,Badge,Pop-up Copy,Social Media Copy,Target,Level,Image
Profile,,Autobiographer,discussion,One-off Action,Active,Autobiographer - fills up the profile info,1,Bronze,Good job on filling up the bio. Others can find you easily now!,N/A,,,
Profile,,,discussion,One-off Action,Active,Certified - filled up new discoure tutorial ,1,Bronze,"You went through the discourse tutorial, you're all ready for the community now!",N/A,,,
Profile,,,discussion,One-off Action,Active,Editor - Edits first post ,1,Bronze,You have edited your first post,N/A,,,
Activity,,,discussion,Time Frequency ,Active,Enthusiast - Visited 7 consecutive days ,1,Bronze,You must really like us. Here's your badge for visited us 7 consecutive days!,I unlocked a bronze badge by interacting on @AIcrowdHQ forums for a week! Check out the forum here [link],,,
Activity,,,discussion,Time Frequency ,Active,Afficionado - Visited 15 consecutive days ,2,Silver,"We love a regular participant. Congratulations for 15 consecutive days, here's your badge. ",I unlocked a silver badge by interacting on @AIcrowdHQ forums for a fortnight! Check out the forum here [link],,,
Activity,,,discussion,Time Frequency ,Active,Devotee - Visited 30 consecutive days ,3,Gold,"Wow, thank you for your enthusiasm. Here's a golden badge for visiting 30 consecutive days.",I unlocked a gold badge by interacting on @AIcrowdHQ forums for a whole month! Check out the forum here [link],,,
Post,1105,Liked Topic,discussion,Topic,Active,Likes 10 topics,1,Bronze,You liked 10 topics. Here's your bronze badge. 10 more left to unlock next level,I received a bronze medal for interacting with @AIcrowdHQ posts! Check out the challenge forum here [link],10,1,post_like_Active_bronze
Post,1106,Liked Topic,discussion,Topic,Active,Likes 20 topics,2,Silver,You liked 20 topics. Here's your silver badge. 20 more left to unlock next level,I received a silver medal for interacting with @AIcrowdHQ posts! Check out the challenge forum here [link],20,2,post_like_Active_bronze
Post,1107,Liked Topic,discussion,Topic,Active,Likes 40 topics ,3,Gold,You liked 40 topics. Here's your gold badge. ,I received a gold medal for interacting with @AIcrowdHQ posts! Check out the challenge forum here [link],40,3,post_like_Active_bronze
Post,,,discussion,Topic,Passive,Gets 5 likes,1,Bronze,Your topic received 5 likes. Here's your bronze badge!,My post received 5 likes on @AIcrowdHQ forum! I also unlocked a bronze badge! Check out my contribution to AI discussions. :) [link],,,post_like_passive_bronze
Post,1103,Topic got likes,discussion,Topic,Passive,Gets 20 likes,2,Silver,Your topic received 20 likes. Here's your silver badge!,My post received 20 likes on @AIcrowdHQ forum! I also unlocked a silver badge! Check out my contribution to AI discussions. :) [link],20,2,post_like_passive_bronze
Post,1104,Topic got likes,discussion,Topic,Passive,Gets 35 likes,3,Gold,Your topic received 35 likes. Here's your gold badge!,My post received 35 likes on @AIcrowdHQ forum! I also unlocked a gold badge! Check out my contribution to AI discussions. :) [link],35,3,post_like_passive_bronze
Post,1108,Liked Replies,discussion,Reply,Active,Likes 10 replies,1,Bronze,We love an active community member. Here's a bronze badge for liking 10 replies.,I received a bronze badge for active participation on @AIcrowdHQ forum. Join the latest discussions on AI and Machine Learning over here [link],10,1,post_comment_Active_bronze
Post,1109,Liked Replies,discussion,Reply,Active,Likes 20 replies,2,Silver,We love an active community member. Here's a silver badge for liking 20 replies.,I received a silver badge for active participation on @AIcrowdHQ forum. Join the latest discussions on AI and Machine Learning over here [link],20,2,post_comment_Active_bronze
Post,1110,Liked Replies,discussion,Reply,Active,Likes 40 replies ,3,Gold,We love an active community member. Here's a gold badge for liking 40 replies.,I received a gold badge for active participation on @AIcrowdHQ forum. Join the latest discussions on AI and Machine Learning over here [link],40,3,post_comment_Active_bronze
Post,1111,Reply got likes,discussion,Reply,Passive,Gets 5 likes,1,Bronze,The community enjoys interacting with you. Here's a bronze badge for 5 likes on replies.,I received a bronze badge as @AIcrowdHQ community members are enjoying my posts on their forum! Check them out [link],5,1,post_comment_passive_bronze
Post,1112,Reply got likes,discussion,Reply,Passive,Gets 20 likes,2,Silver,The community enjoys interacting with you. Here's a silver badge for 20 likes on replies.,I received a silver badge as @AIcrowdHQ community members are enjoying my posts on their forum! Check them out [link],20,2,post_comment_passive_bronze
Post,1113,Reply got likes,discussion,Reply,Passive,Gets 35 likes,3,Gold,The community enjoys interacting with you. Here's a gold badge for 35 likes on replies.,I received a gold badge as @AIcrowdHQ community members are enjoying my posts on their forum! Check them out [link],35,3,post_comment_passive_bronze
Post,,,discussion,Share,Active + Passive,You shared 10 posts + Your post was shared 5 times,1,Bronze,We appreciate your involvement with our community. You've unlocked the bronze badge by sharing 10 posts and receiving 5 shares on your posts!,My posts on @AIcrowdHQ forum are getting a lot of attention. I even unlocked a bronze badge! Check out the latest discussions on AI and ML [link],,,
Post,,,discussion,Share,Active + Passive,You shared 25 posts + Your post was shared 10 times,2,Silver,We appreciate your involvement with our community. You've unlocked the silver badge by sharing 25 posts and receiving 10 shares on your posts!,My posts on @AIcrowdHQ forum are getting a lot of attention. I even unlocked a silver badge! Check out the latest discussions on AI and ML [link],,,
Post,,,discussion,Share,Active + Passive,You shared 40 posts + Your post was shared 15 times,3,Gold,You are popular in our community. You've unlocked the gold badge by sharing 40 posts and receiving 15 shares on your posts!,My posts on @AIcrowdHQ forum are getting a lot of attention. I even unlocked a gold badge! Check out the latest discussions on AI and ML [link],,,
Post,,,discussion,Clicks ,Active + Passive,You clicked 10 links + Got 5 clicks on your link,1,Bronze,You are a serious reader! Here's your bronze badge for clicking on 10 links and getting 5 clicks on your links.,N/A,,,
Post,,,discussion,Clicks ,Active + Passive,You clicked 25 links + got 15 clicks on your link,2,Silver,You are a serious reader! Here's your silver badge for clicking on 25 links and getting 15 clicks on your links.,N/A,,,
Post,,,discussion,Clicks ,Active + Passive,You clicked 40 links + got 35 clicks on your links,3,Gold,You are a serious reader! Here's your gold badge for clicking on 40 links and getting 35 clicks on your links.,N/A,,,
Post ,,,discussion,Bookmarks,Active + Passive,You bookmarked 10 topics + Your post got 5 bookmarks,1,Bronze,You are a curator. Here's a bronze badge for bookmarking 10 topics and receiving 5 bookmarks on your posts.,I received a bronze badge for curating content on AI and ML @AIcrowd forum. Check out my posts [link],,,
Post ,,,discussion,Bookmarks,Active + Passive,You bookmarked 25 topics + Your post got 15 bookmarks,2,Silver,You are a curator. Here's a silver badge for bookmarking 25 topics and receiving 15 bookmarks on your posts.,I received a silver badge for curating content on AI and ML @AIcrowd forum. Check out my posts [link],,,
Post ,,,discussion,Bookmarks,Active + Passive,You bookmarked 40 topics + Your post got 35 bookmarks ,3,Gold,You are a curator. Here's a gold badge for bookmarking 40 topics and receiving 35 bookmarks on your posts.,I received a gold badge for curating content on AI and ML @AIcrowd forum. Check out my posts [link],,,
Post ,1114,Commented on post,discussion,Comments ,Active,You commented 10 times,1,Bronze,You've unlocked bronze badge by commenting on 10 posts. You are 15 more comments away from the next level. ,N/A,10,1,post_comment_Active_bronze
Post ,1115,Commented on post,discussion,Comments ,Active,You commented 25 times,2,Silver,You've unlocked silver badge by commenting on 25 posts. You are 15 more comments away from the next level. ,N/A,25,2,post_comment_Active_bronze
Post ,1116,Commented on post,discussion,Comments ,Active,You commented 40 times ,3,Gold,You've unlocked gold badge for commenting on 40 posts!,N/A,40,3,post_comment_Active_bronze
Post ,1117,Got comment on post,discussion,Comments ,Passive,Your post for 5 comments,1,Bronze,"Your posts has received 5 comments, here's your bronze badge.",My post on @AIcrowdHQ forum is garnering a lot of attention!  I even unlocked a bronze badge.Check out the post here [link] ,5,1,post_comment_passive_bronze
Post ,1118,Got comment on post,discussion,Comments ,Passive,Your post for 15 comments,2,Silver,"Your posts has received 15 comments, here's your silver badge.",My post on @AIcrowdHQ forum is garnering a lot of attention!  I even unlocked a silver badge.Check out the post here [link] ,15,2,post_comment_passive_bronze
Post ,1119,Got comment on post,discussion,Comments ,Passive,Your post got 35 comments ,3,Gold,"Your posts has received 25 comments, here's your gold badge.",My post on @AIcrowdHQ forum is garnering a lot of attention!  I even unlocked a gold badge.Check out the post here [link] ,25,3,post_comment_passive_bronze
Post ,,,discussion,Mentions,Active + Passive,You mentioned someone 10 times + You got mentioed 5 times,1,Bronze,Interacting with the community? Here's a bronze badge for mentioning someone 10 times. You also received 5 mentions.,N/A,,,
Post ,,,discussion,Mentions,Active + Passive,You mentioned someone 25 times + You got mentioned 15 times,2,Silver,Sharing ideas? Here's a silver badge for interacting with someone 25 times. You also received 15 mentions. ,N/A,,,
Post ,,,discussion,Mentions,Active + Passive,You mentioned someone 40 times + You got mentioned 35 times ,3,Gold,Making friends and building connections? You have unlocked gold badge for mentioning someone 40 times. You have also received 35 mentions. ,N/A,,,
Campaign,,,discussion,Invites,Active,Invited 1 users ,1,Bronze,Thank you for sharing AIcrowd with your friend. Here's a bronze badge for inviting a new user!,N/A,,,
Campaign,,,discussion,Invites,Active,Invited 3 users ,2,Silver,Thank you for sharing AIcrowd with your friend. Here's a silver badge for inviting 3 new users!,N/A,,,
Campaign,,,discussion,Invites,Active,Invited 5 users ,3,Gold,You are an influencer! Thank you for sharing AIcrowd with your friend. Here's a gold badge for inviting 5 new users!,N/A,,,
Trust Level,,,,Basic,Level 1,"Reading topics on the community. New user restrictions have been lifted; you’ve been granted all essential community abilities, such as personal messaging, flagging, wiki editing, and the ability to post multiple images and links.",1,Bronze,"Congratulations, you have joined Trust Level 1. As a basic member you have been granted abilities such as persoal messaging, flagging, wiki editing and posting multiple images and links in a post. ",,,,
Trust Level,,,,Member,Level 2,"participating over a period of weeks to truly join our community. You can now send invitations from your user page or individual topics, create group personal messages, and have more likes per day.",2,Silver,"Congratulations, you're now part of the Trust Level 2. All members can send invitations from your user page, create group personal messages and have more likes per day! ",,,,
Trust Level,,,,Regular,Level 3,"regular part of our community over a period of months. You’re now one of the most active readers, and a reliable contributor that makes our community great.",3,Gold,"Congratulations, you're not part of the Trust Level 3. As a regular member now you can recategorize and rename topics, take advantage of more powerful spam flags, access a private lounge area, and you’ll also get lots more likes per day.",,,,
,,,,,,,,,,,,,
BADGES FOR FIRSTS ,,,,,,,,,,,,,
Category,,,,Module,Submodule,Action,How easy is it to do?,,,,,,
Community,,,,Posting,Active,First Emoji,1,,You used your first emoji! ,N/A,,,
Community,,,,Posting,Active,First Flag,1,,You flagged a post for the first time,N/A,,,
Community,,,,Posting,Active,First Link,1,,You posted your first link. Keep sharing resources with the community.,N/A,,,
Community,,,,Posting,Active,First Like,1,,You liked your first post. Nine more away from unlocking a bronze badge,N/A,,,
Community,,,,Posting,Active,First Mention,1,,You mentioned a user for the first time. ,N/A,,,
Community,,,,Posting,Active,First Quote,1,,You quotes a post for the first time.,N/A,,,
Community,,,,Posting,Active,First Share,1,,You shared a post for the first time.,N/A,,,
Community,,,,Posting,Active,3 consecutive days ,2,,"Wow, you have posted in community for 3 consecutive days. Contribute for 4 more days to receive your bronze badge.",I am enjoying interacting and contrbuting to the @AIcrowdHQ community on discourse. Find my profile [here],,,
Community,,,,Posting,Active,First Bookmark ,1,,You bookmarked a post for the first time.,N/A,,,
Community,,,,Campaign,Active,New User of the Month,-,,"Congratualtions, you are the new user of this month! ",I am the new user of the month on @AIcrowdHQ. Check out my contribution and interactions with the AI community over here [link],,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,DISCUSSION POINT,,,,,,,
,,,,,,"- Since there are too many actions, my suggest is to couple active and passive actions for posting sub-module",,,,,,,
,,,,,,For example: You get a bronze if you give 10 likes and receive 5 likes,,,,,,,