Category,Name,Module,Submodule,Action,How easy is it to do?,Badge,Pop-up Copy,Social Media Copy,Target,Level,Image
Notebooks,Created Notebook,Creation,Active,- You created 3 notebooks,3,Bronze,Good job! You’ve unlocked the bronze badge by creating 3 notebooks on AIcrowd. You are 7 notebooks away from unclocking silver badge. Keep up the good work!,I unlocked the bronze badge on @AIcrowdHQ for creating notebooks. Check out all the resources I created [link],3,1,Notebook_Creation_Active_bronze
Notebooks,Created Notebook,Creation,Active,- You created 10 notebooks,4,Silver,Amazing! You have created 10 notebooks on AIcrowd. We want to appreciate this achievment by giving you the silver badge. Next level - 25 notebooks. Let’s go!,I’ve unlocked the silver badge by creating 10 notebooks on @AIcrowdHQ. You can see all my work over here [link],10,2,Notebook_Creation_Active_silver
Notebooks,Created Notebook,Creation,Active,- You created 25 notebooks,5,Gold,"Congratualtions, you’ve unlocked the gold badge! This calls for a celebrations. We are so proud to have you as an AIcrowd member. Great job :)","Wow, I unlocked the prestigious gold badge by creating 25 notebooks @AIcrowdHQ. What do you think about all my notebooks? [link]",25,3,Notebook_Creation_Active_gold
Notebooks,Won Blitz Community Explainer,Win,Active,- Your notebook won Blitz Community Explainer,4,Silver,"Congratulations, you’ve unlocked the silver badge by winning Blitz Community Explainer! Thank you for creating helpful resources for the users, the community loved it. Keep it up :) ","I unlocked the silver badge on @AIcrowdHQ by winning the Blitz Community Explainer.If you are starting your AI journey, you will find this resource helpful [link]",,2,
Notebooks,Won Challenge Community Explainer,Win,Active,- Your notebook won Challenge Community Explainer ,5,Gold,"Congratulations, a double-win! You unlocked a gold badge for winning the Community Explainer for [challenge name]. We are delighted to have you as a part of AIcrowd. Continue to create resources, our community loves them! ",I unlocked the prestigious gold badge on @AIcrowdHQ by winning the Community Explainer prize. Check out my winning notebook over here [link] ,,3,
Notebooks,Shared Notebook,Share,Active,- You shared 10 notebooks,2,Bronze,Great to see you interact with community! You have unlocked bronze badge! Keep sharing your favourite resources. 15 more to go for the next level! ,"I received bronze badge on @AIcrowdHQ for sharing 10 wonderful resources. Looking for useful AI and ML notebooks, see this [link]",10,1,Notebook_Share_Active_bronze
Notebooks,Shared Notebook,Share,Active,- You shared 25 notebooks ,3,Silver,"Hooray, you have unlocked the silver badge for sharing 25 notebooks! Delighted to see your active participation, keep going. Next Level - Gold! ","I received silver badge on @AIcrowdHQ for sharing 25 wonderful resources. Looking for useful AI and ML notebooks, see this [link]",25,2,Notebook_Share_Active_silver
Notebooks,Shared Notebook,Share,Active,- You shared 40 notebooks ,4,Gold,"Woohoo! You have shared 40 notebooks, that’s amazing! We love your active participation in the community — here’s a gold badge for you! Keep it up. :)","Wow, I received the prestigious gold badge on  @AIcrowdHQ for sharing 40 amazing AI notebooks! Check out more useful Machine learning resources at [link]",40,3,Notebook_Share_Active_gold
Notebooks,Notebook Was Shared,Share,Passive,- Your notebook was shared 3 times,2,Bronze,"Woohoo! You receive a bronze medal! Your notebook was shared by 3 community members. Keep creating amazing resources, the AIcrew community loved it. :)",I received the bronze badge as my notebooks were shared by @AIcrowdHQ community members. Give it a look [link],3,1,Notebook_Share_passive_bronze
Notebooks,Notebook Was Shared,Share,Passive,- Your notebook was shared 15 times,3,Silver,"Woohoo! You receive a silver medal! Your notebook was shared by 15 community members. Keep creating amazing resources, the AIcrew community loved it. :)","I received the silver badge as my notebooks were shared by @AIcrowdHQ community members. You might find it helpful too, check it out  [link]",15,2,Notebook_Share_passive_silver
Notebooks,Notebook Was Shared,Share,Passive,- Your notebook was shared 30 times ,4,Gold,"Wow, you are popular! Here’s your gold badge. Your notebook was shared by 30 AIcrowd members. We are delighted to have you on our platform. Keep creating :)","Wow, I just unlocked the gold badge on @AIcrowdHQ as my notebook was shared by 40 people. It’s a favourite in the community, find out why [link] ",30,3,Notebook_Share_passive_gold
Notebooks,Liked Notebook,Liking,Active,- You liked 10 notebooks,2,Bronze,Lovely to see you interact with other members. You’ve unlocked a bronze badge! Next level - 15 more likes for silver. Keep it up!,N/A,10,1,Notebook_like_Active_bronze
Notebooks,Liked Notebook,Liking,Active,- You liked 25 notebooks,3,Silver,"You’re an active AIcrew member, here’s your silver badge! At AIcrowd we grow by learning from our peers. 15 more likes for the next level! Let’s go!",N/A,25,2,Notebook_like_Active_silver
Notebooks,Liked Notebook,Liking,Active,- You liked 40 notebooks,4,Gold,"Wow, you’re a busy bee. Here’s your gold badge for interacting with 40 notebooks. You’re awesome. :)",I unlocked the prestigious gold badge on @AIcrowdHQ for interacting with resources on the platform. Check out some of my favourite notebooks here [link],40,3,Notebook_like_Active_gold
Notebooks,Notebook Was Liked,Liking,Passive,- Your notebook was liked 5 times ,2,Bronze,"1. Your notebook received 10 likes - with this, you’ve unlocked bronze badge! The community appreciates your contribution, keep creating. :)","2. Hi, my notebook has received 10 likes and a bronze badge, check it out [link]",5,1,Notebook_like_passive_bronze
Notebooks,Notebook Was Liked,Liking,Passive,- Your notebook was liked 20 times,3,Silver,"1.  Your notebook on @AIcrowdHQ received 20 likes - with this, you’ve unlocked silver badge! The community appreciates your contribution, keep creating. :)","2.  My notebook on @AIcrowdHQ has received a silver badge, check out my AI resource [link]",20,2,Notebook_like_passive_silver
Notebooks,Notebook Was Liked,Liking,Passive,- Your notebook was liked 35 times ,4,Gold,"1. Wow, your notebook has received 35 likes —  with this, you’ve unlocked gold badge! Your notebook is popular! The community appreciates your contribution, keep creating. :)","2. My notebook on @AIcrowdHQ is popular! It has a golden badge, check it out now [link]",35,3,Notebook_like_passive_gold
Notebooks,Commented On Notebook,Comment,Active,- You commented on 5 notebooks,2,Bronze,"You’re a busy bee, interacting with other community members. Here’s your bronze badge to show our appreciation for your work. Keep it up. :)",n/a,5,1,Notebook_comment_Active_bronze
Notebooks,Commented On Notebook,Comment,Active,- You commented on 15 notebooks,3,Silver,1. Your involvement in the community is brilliant! Here’s a silver badge to celebrate that! Keep up the good work.,2. I unlocked the silver badge for my active participation on @AIcrowdHQ. Here are my favourite resources created by the community [link],15,2,Notebook_comment_Active_silver
Notebooks,Commented On Notebook,Comment,Active,- You commented on 35 notebooks,4,Gold,"1. Wow, you are committed to the craft! A gold badge to applaud your active involvement in this community. Thank you for your efforts! Keep it up.",2. I received the prestigious gold badge for engagement and resource sharing on @AIcrowdHQ. Here are some of my favourite resources [link],35,3,Notebook_comment_Active_gold
Notebooks,Notebook Received Comment,Comment,Passive,- Your notebook got 3 comments ,2,Bronze,Your notebook has caught attention of our community members! You’ve unlocked bronze badge. Keep creating and sharing!,n/a,3,1,Notebook_comment_passive_bronze
Notebooks,Notebook Received Comment,Comment,Passive,- Your notebook got 15 comments ,3,Silver,1. You notebook is getting attention! You have unlocked the silver badge by receiving 15 comments. Keep up the good work. :),2. I received the silver badge as my notebook on @AIcrowdHQ is garnering some attention. Check it out [link],15,2,Notebook_comment_passive_silver
Notebooks,Notebook Received Comment,Comment,Passive,- Your notebook got 30 comments ,4,Gold,"1. Wow, you have received the gold badge! Your notebook is really population. Great work, keep creating! :)",2. I received the prestigious gold badge for my notebook! Check out the resource over here [link],30,3,Notebook_comment_passive_gold
Notebooks,Bookmarked Notebook,Subscribe,Active,- You subscribed to 5 notebooks,2,Bronze,You’ve followed 5 notebooks and unlocked bronze badge. 10 more follows away from levelling up to silver. Keep going on!,n/a,5,1,Notebook_bookmark_Active_bronze
Notebooks,Bookmarked Notebook,Subscribe,Active,- You subscribed to 15 notebooks,3,Silver,"You’ve followed 15 notebooks and unlocked silver badge! Keep going, 20 more and you’ll level up. ",n/a,15,2,Notebook_bookmark_Active_silver
Notebooks,Bookmarked Notebook,Subscribe,Active,- You subscribed to 35 notebooks ,4,Gold,"Wow, you are an active member of our community. Here’s a gold badge to appreciate your effort. Keep interacting with resources created by the resources. ",n/a,35,3,Notebook_bookmark_Active_gold
Notebooks,Notebook Was Bookmarked,Subscribe,Passive,- Your notebook has 3 subscriber ,2,Bronze,You’ve unlocked the bronze badge! The community is noticing you! Keep creating and sharing your resources. ,n/a,3,1,Notebook_bookmark_passive_bronze
Notebooks,Notebook Was Bookmarked,Subscribe,Passive,- Your notebook has 15 subscribers,3,Silver,"Woohoo, you receive a silver badge! 15 people have subscribed to your notebook. The community liked your resources, keep up the good work. :)",I received the silver badge for my notebook on @AIcrowdHQ. Check out the notebook that my subscribers are using [link],15,2,Notebook_bookmark_passive_silver
Notebooks,Notebook Was Bookmarked,Subscribe,Passive,- Your notebook has 30 subscribers ,4,Gold,"Wow, you receive a gold badge as your notebooks have 30 subscribers! Your work is quite popular! Keep creating and sharing more notebooks.:) ","Yay, I received the prestigious gold badge for my notebook on @AIcrowdHQ. Check out my notebook that is popular among AIcrowd community members [link]",30,3,Notebook_bookmark_passive_gold
Notebooks,Downloaded Notebook,Download,Active,- You downloaded 10 notebooks ,2,Bronze,"You receive a bronze badge for downloading 10 notebooks. Good job, you’re 15 downloads away from a level up ",n/a,10,1,Notebook_download_Active_bronze
Notebooks,Downloaded Notebook,Download,Active,- You downloaded 25 notebooks,3,Silver,You have unlocked silver badge by downloading 25 notebooks. We appreciate your active participation on this platform. Keep up the good work.,n/a,25,2,Notebook_download_Active_silver
Notebooks,Downloaded Notebook,Download,Active,- You downloaded 40 notebooks ,4,Gold,"Wow, you’re a busy bee. Here’s a gold badge to reward your hard work! Our community appreciates your active participation. ",n/a,40,3,Notebook_download_Active_gold
Notebooks,Notebook Was Downloaded,Download,Passive,- Your notebook was downloaded 5 times,2,Bronze,You’ve unlocked the bronze badge! The community is noticing you! Keep creating and sharing your resources.,n/a,5,1,Notebook_download_passive_bronze
Notebooks,Notebook Was Downloaded,Download,Passive,- Your notebook was downloaded 15 times,3,Silver,"Woohoo, you receive a silver badge! 15 people have downloaded to your notebook. The community liked your resources, keep up the good work. :)",I received the silver badge for my notebook on @AIcrowdHQ. Check out the notebook [link],15,2,Notebook_download_passive_silver
Notebooks,Notebook Was Downloaded,Download,Passive,- Your notebook was downloaded 35 times ,4,Gold,"Wow, you receive a gold badge as your notebooks have 35 downloads. Your work is quite popular! Keep creating and sharing more notebooks.:) ","Yay, I received the prestigious gold badge for my notebook on @AIcrowdHQ. Check out my notebook that is popular among AIcrowd community members [link]",35,3,Notebook_download_passive_gold
One-Off,"Created one notebook, like 3 notebooks, shared 2 notebooks ",New User of the Month,Active ,"Created one notebook, like 3 notebooks, shared 2 notebooks ",3,Silver,,,,2,
Notebooks,Created Blitz Notebook,Creation,Active,- You created 5 Blitz notebooks,3,Bronze,,,5,1,Blitz_Creation_Active_bronze
Notebooks,Created Blitz Notebook,Creation,Active,- You created 15 Blitz notebooks,4,Silver,,,15,2,Blitz_Creation_Active_silver
Notebooks,Created Blitz Notebook,Creation,Active,- You created 30 Blitz notebooks ,5,Gold,,,30,3,Blitz_Creation_Active_gold